name,description,price,category_id
Laptop Lenovo,Notebook 15 pulgadas,850.0,1
Mouse Logitech,Mouse inalámbrico,25.5,1
Silla Gamer,Con respaldo ergonómico,250.0,2
Camiseta Nike,Camiseta deportiva,30.0,4
Jeans Levis,Jeans ajustados para hombre,60.0,4
Harry Potter y la Piedra Filosofal,Libro de fantasía para jóvenes,20.0,5
Enciclopedia Visual,Enciclopedia para niños,35.0,5
Lego Star Wars,Set de construcción de la saga,70.0,6
Muñeca Barbie,Muñeca con accesorios,45.0,6
Balón de fútbol Adidas,Balón oficial tamaño 5,40.0,3
